Chelsea,17
Arsenal,13
Liverpool,12
Manchester City,12
Manchester United,12
Tottenham Hotspur,11
Burnley,10
West Bromwich Albion,10
Leicester City,9
Watford,9
Everton,8
Stoke City,8
Brighton and Hove Albion,7
Newcastle United,7
Southampton,7
West Ham United,6
Huddersfield Town,5
AFC Bournemouth,4
Crystal Palace,4
Swansea City,3
