Arsenal,17
West Bromwich Albion,16
Swansea City,15
West Ham United,14
Crystal Palace,13
Everton,13
Liverpool,12
Leicester City,10
Tottenham Hotspur,10
Manchester United,9
Watford,9
Chelsea,8
Manchester City,8
Middlesbrough,8
Stoke City,7
AFC Bournemouth,5
Hull City,5
Burnley,4
Southampton,4
Sunderland,1
